,country,city,lat,lon,date,cloudiness,humidity,max_temp,wind_speed
338,BR,cidreira,-30.1811,-50.2056,1643499257,32,63,71.65,12.3
339,CN,erenhot,43.6475,111.9767,1643499258,100,93,7.34,1.34
340,LR,harper,4.375,-7.7169,1643499258,79,87,79.47,5.7
341,AU,launceston,-41.45,147.1667,1643499259,1,64,70.61,5.01
342,NA,luderitz,-26.6481,15.1594,1643499259,74,78,67.44,7.54
343,BG,montana,43.4125,23.225,1643499125,46,66,25.56,5.73
344,NA,walvis bay,-22.9575,14.5053,1643499259,25,82,63.55,12.66
345,AU,mount gambier,-37.8333,140.7667,1643499260,100,78,69.71,10.36
346,IS,husavik,66.0449,-17.3389,1643499260,65,79,33.71,17.54
347,RU,smidovich,48.6,133.8167,1643499261,20,99,-29.72,0.85
348,RU,tiksi,71.6872,128.8694,1643499261,56,98,-9.49,4.25
349,RU,tynda,55.1667,124.7167,1643499261,67,91,-14.67,5.14
350,PE,barranca,-10.75,-77.7667,1643499262,49,81,70.14,7.11
351,NC,poya,-21.35,165.15,1643499262,65,71,84.51,8.66
352,MX,tomatlan,19.9333,-105.25,1643499262,0,58,79.47,6.6
353,CA,cap-aux-meules,47.3821,-61.8597,1643499263,100,100,28.45,43.73
354,RU,severodvinsk,64.5635,39.8302,1643499263,97,91,17.71,11.97
355,ZM,chongwe,-15.3292,28.682,1643499263,100,96,66.34,2.26
356,CN,yuci,37.6803,112.7319,1643499324,25,85,13.75,2.24
357,JO,wadi musa,30.3222,35.4793,1643499324,0,58,37.81,5.3
358,NO,honningsvag,70.9821,25.9704,1643499324,78,68,28.45,7.0
359,GB,biggar,55.6167,-3.5167,1643499325,14,90,38.89,4.83
360,CN,songjianghe,42.1859,127.479,1643499325,6,83,3.72,5.17
361,IN,mangrol,21.1167,70.1167,1643499325,1,41,63.81,10.02
362,CN,hami,42.8,93.45,1643499326,1,45,19.78,3.24
363,BR,belmonte,-15.8631,-38.8828,1643499326,38,81,79.3,10.29
364,SA,riyadh,24.6877,46.7219,1643499326,0,41,50.14,8.68
365,MR,nouakchott,18.0858,-15.9785,1643499327,100,63,67.93,15.52
366,CN,yatou,37.15,122.3833,1643499327,45,49,29.97,9.8
367,SD,umm kaddadah,13.6017,26.6876,1643499327,4,21,55.74,16.33
368,PH,manuk mangkaw,4.8,119.85,1643499328,87,72,81.34,3.71
369,IN,kavaratti,10.5669,72.642,1643499328,54,74,80.42,8.3
370,TD,pala,9.3642,14.9046,1643499328,72,16,69.66,9.89
371,BR,cabedelo,-6.9811,-34.8339,1643499329,81,80,77.67,9.62
372,CA,bonavista,48.6499,-53.1147,1643499329,100,92,34.12,33.96
373,EC,velasco ibarra,-1.05,-79.6167,1643499329,100,85,74.97,4.36
374,US,mayo,38.8876,-76.5119,1643499330,0,40,24.31,15.01
375,US,westport,41.1415,-73.3579,1643499058,100,54,21.18,8.01
376,PE,paita,-5.0892,-81.1144,1643499330,38,81,79.36,11.32
377,VN,ca mau,9.1769,105.15,1643499217,71,82,74.57,3.31
378,CN,yibin,28.7667,104.6238,1643499331,72,87,41.54,1.57
379,MA,rabat,33.9911,-6.8401,1643499331,49,76,61.03,3.44
380,CV,tarrafal,15.2833,-23.7667,1643499331,100,73,70.59,17.78
381,US,superior,46.7208,-92.1041,1643499051,40,66,23.47,0.0
382,RU,bershet,57.7309,56.3783,1643499332,99,97,0.66,4.21
383,RU,verkhnyaya khava,51.8404,39.9413,1643499332,100,97,30.27,6.08
384,GL,narsaq,60.9167,-46.05,1643499332,100,94,12.42,11.41
385,AR,parana,-31.732,-60.5238,1643499333,0,76,72.46,7.78
386,CG,kinkala,-4.3614,14.7644,1643499333,76,91,75.51,4.7
387,SA,mecca,21.4267,39.8261,1643499333,59,58,65.03,7.61
388,US,carlisle,40.2015,-77.1889,1643499334,15,31,21.9,4.0
389,AU,alice springs,-23.7,133.8833,1643499334,100,89,78.35,14.97
